"source","filename","time2scrape"
"dmccooey","StellatedTruncatedHexahedron.txt","0.304"
"dmccooey","Cuboctahedron.txt","0.305"
"dmccooey","SmallRhombidodecahedron.txt","0.306"
"dmccooey","Heptagrammic73Dipyramid.txt","0.309"
"dmccooey","PentakisIcosidodecahedron.txt","0.309"
"dmccooey","OctagrammicConcaveTrapezohedron.txt","0.31"
"dmccooey","SelfDualHexadecahedron68.txt","0.311"
"dmccooey","SmallDitrigonalDodecicosidodecahedron.txt","0.311"
"dmccooey","SelfDualTetracontahedron6.txt","0.312"
"dmccooey","RegularTetragonalToroid18A2.txt","0.314"
"dmccooey","SimplestC10v.txt","0.315"
"netlib","3","0.315"
"dmccooey","KleinDual.txt","0.318"
"dmccooey","SelfDualEnneahedron4.txt","0.321"
"netlib","78","0.323"
"dmccooey","RegularHexagonalToroid12C_Knot.txt","0.324"
"dmccooey","SelfDualPentadecahedron30.txt","0.325"
"dmccooey","PentagonalPrism.txt","0.327"
"dmccooey","GreatDodecicosidodecahedron.txt","0.328"
"dmccooey","SelfDualHeptahedron3.txt","0.329"
"dmccooey","SelfDualDodecahedron14.txt","0.33"
"dmccooey","SelfDualHexadecahedron147.txt","0.33"
"dmccooey","SelfDualTetradecahedron356.txt","0.332"
"netlib","72","0.334"
"dmccooey","CanonicalTruncatedTruncatedTetrahedron.txt","0.335"
"dmccooey","RegularTetragonalToroid18B1.txt","0.338"
"dmccooey","SmallStellatedTruncatedDodecahedron.txt","0.34"
"netlib","132","0.34"
"netlib","93","0.34"
"netlib","52","0.344"
"dmccooey","RegularHexagonalToroid12C1.txt","0.347"
"netlib","88","0.347"
"dmccooey","BiscribedPropelloDodecahedron.txt","0.348"
"dmccooey","6TruncatedJoinedTruncatedTetrahedron1.txt","0.354"
"dmccooey","GreatDeltoidalHexecontahedron.txt","0.354"
"netlib","110","0.354"
"dmccooey","SelfDualTridecahedron2.txt","0.356"
"dmccooey","BiscribedLsnubDodecahedron.txt","0.359"
"dmccooey","SimplestD6h_2.txt","0.36"
"dmccooey","RegularTetragonalToroid18B2.txt","0.361"
"netlib","20","0.361"
"dmccooey","GreatDodecahemicosahedron.txt","0.362"
"dmccooey","TruncatedCuboctahedron.txt","0.363"
"netlib","30","0.363"
"dmccooey","PropelloTetrahedron.txt","0.364"
"dmccooey","SelfDualHeptahedron4.txt","0.365"
"dmccooey","Dodecadodecahedron.txt","0.366"
"dmccooey","SelfDualEnneahedron5.txt","0.366"
"dmccooey","RegularHexagonalToroid12D2.txt","0.37"
"dmccooey","TetrakisLsnubCube.txt","0.371"
"dmccooey","SelfDualIcosioctahedron3.txt","0.372"
"dmccooey","GreatStellapentakisDodecahedron.txt","0.373"
"dmccooey","Cubohemioctahedron.txt","0.374"
"dmccooey","SimplestC11v.txt","0.374"
"dmccooey","Heptagrammic73Prism.txt","0.375"
"dmccooey","SimplestS6_2.txt","0.377"
"netlib","14","0.377"
"dmccooey","SelfDualTetracontahedron1.txt","0.378"
"dmccooey","StewartsG3.txt","0.378"
"netlib","120","0.383"
"dmccooey","PentagonalTrapezohedron.txt","0.384"
"dmccooey","SimplestD10h_2.txt","0.384"
"dmccooey","SelfDualTetradecahedron1.txt","0.385"
"dmccooey","OctagrammicCrossedAntiprism.txt","0.391"
"dmccooey","SmallIcosicosidodecahedron.txt","0.392"
"dmccooey","Rhombicosacron.txt","0.393"
"dmccooey","SelfDualHexadecahedron69.txt","0.393"
"dmccooey","SelfDualDodecahedron18.txt","0.394"
"netlib","84","0.394"
"dmccooey","RsnubDodecahedron.txt","0.396"
"dmccooey","GreatRhombihexacron.txt","0.398"
"dmccooey","ElongatedSquareGyrobicupola.txt","0.399"
"dmccooey","SelfDualPentadecahedron36.txt","0.405"
"dmccooey","TruncatedGreatIcosahedron.txt","0.406"
"dmccooey","SelfDualTetradecahedron4.txt","0.407"
"dmccooey","SimplestC2.txt","0.408"
"netlib","94","0.408"
"netlib","4","0.41"
"dmccooey","SmallRhombihexacron.txt","0.411"
"dmccooey","RegularTetragonalToroid9.txt","0.412"
"dmccooey","SelfDualHexadecahedron152.txt","0.412"
"dmccooey","GeodesicIcosahedron2.txt","0.415"
